benchmark,model,surface,run,n_common,n_scored,accuracy
metabench-hellaswag,claude-haiku,interface,run_2,90,90,0.888889
metabench-hellaswag,claude-haiku,api,run_3,91,91,0.923077
metabench-hellaswag,claude-haiku,interface,run_3,91,91,0.89011
metabench-hellaswag,claude-haiku,api,run_4,91,91,0.912088
metabench-hellaswag,claude-haiku,interface,run_4,91,91,0.868132
metabench-hellaswag,claude-opus,api,run_0,93,93,0.978495
metabench-hellaswag,claude-opus,interface,run_0,93,93,0.967742
metabench-hellaswag,claude-opus,api,run_1,93,93,0.978495
metabench-hellaswag,claude-opus,interface,run_1,93,93,0.956989
metabench-hellaswag,claude-opus,api,run_2,93,93,0.978495
metabench-hellaswag,claude-opus,interface,run_2,93,93,0.956989
metabench-hellaswag,claude-opus,api,run_3,93,93,0.978495
metabench-hellaswag,claude-opus,interface,run_3,93,93,0.967742
metabench-hellaswag,claude-opus,api,run_4,93,93,0.978495
metabench-hellaswag,claude-opus,interface,run_4,93,93,0.967742
metabench-hellaswag,claude-sonnet,api,run_0,84,84,0.964286
metabench-hellaswag,claude-sonnet,interface,run_0,84,84,0.964286
metabench-hellaswag,claude-sonnet,api,run_1,85,85,0.964706
metabench-hellaswag,claude-sonnet,interface,run_1,85,85,0.894118
metabench-hellaswag,claude-sonnet,api,run_2,85,85,0.964706
metabench-hellaswag,claude-sonnet,interface,run_2,85,85,0.894118
metabench-hellaswag,claude-sonnet,api,run_3,81,81,0.962963
metabench-hellaswag,claude-sonnet,interface,run_3,81,81,0.950617
metabench-hellaswag,claude-sonnet,api,run_4,84,84,0.964286
metabench-hellaswag,claude-sonnet,interface,run_4,84,84,0.952381
metabench-hellaswag,gemini-fast,api,run_0,85,85,0.952941
metabench-hellaswag,gemini-fast,interface,run_0,85,85,0.952941
metabench-hellaswag,gemini-fast,api,run_1,89,89,0.955056
metabench-hellaswag,gemini-fast,interface,run_1,89,89,0.955056
metabench-hellaswag,gemini-fast,api,run_2,86,86,0.94186
metabench-hellaswag,gemini-fast,interface,run_2,86,86,0.930233
metabench-hellaswag,gemini-fast,api,run_3,88,88,0.954545
metabench-hellaswag,gemini-fast,interface,run_3,88,88,0.954545
metabench-hellaswag,gemini-fast,api,run_4,90,90,0.955556
metabench-hellaswag,gemini-fast,interface,run_4,90,90,0.944444
metabench-hellaswag,gemini-thinking,api,run_0,83,83,0.963855
metabench-hellaswag,gemini-thinking,interface,run_0,83,83,0.963855
metabench-hellaswag,gemini-thinking,api,run_1,86,86,0.965116
metabench-hellaswag,gemini-thinking,interface,run_1,86,86,0.965116
metabench-hellaswag,gemini-thinking,api,run_2,87,87,0.954023
metabench-hellaswag,gemini-thinking,interface,run_2,87,87,0.977011
metabench-hellaswag,gemini-thinking,api,run_3,86,86,0.965116
metabench-hellaswag,gemini-thinking,interface,run_3,86,86,0.953488
metabench-hellaswag,gemini-thinking,api,run_4,89,89,0.955056
metabench-hellaswag,gemini-thinking,interface,run_4,89,89,0.955056
metabench-mmlu,chatgpt-instant,api,run_0,95,95,0.936842
metabench-mmlu,chatgpt-instant,interface,run_0,95,95,0.957895
metabench-mmlu,chatgpt-instant,api,run_1,91,91,0.934066
metabench-mmlu,chatgpt-instant,interface,run_1,91,91,0.846154
metabench-mmlu,chatgpt-instant,api,run_2,92,92,0.967391
metabench-mmlu,chatgpt-instant,interface,run_2,92,92,0.891304
metabench-mmlu,chatgpt-instant,api,run_3,95,95,0.936842
metabench-mmlu,chatgpt-instant,interface,run_3,95,95,0.905263
metabench-mmlu,chatgpt-instant,api,run_4,93,93,0.946237
metabench-mmlu,chatgpt-instant,interface,run_4,93,93,0.978495
metabench-mmlu,chatgpt-thinking,api,run_0,91,91,0.967033
metabench-mmlu,chatgpt-thinking,interface,run_0,91,91,0.956044
metabench-mmlu,chatgpt-thinking,api,run_1,96,96,0.947917
metabench-mmlu,chatgpt-thinking,interface,run_1,96,96,0.90625
metabench-mmlu,chatgpt-thinking,api,run_2,95,95,0.957895
metabench-mmlu,chatgpt-thinking,interface,run_2,95,95,0.884211
